AGE2,ALCDAYS,ALCDAYS,,,,AGE2,ALCDAYS,ALCDAYS,,,,,,,,,,,,,,,,,,,7,4910,4910,,,,,,,,,1,12,,1,12,,,,,,,,,,,,1,12,,1,12
19,4,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,67,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 613, 432, 707, 182, 141, 169, 49, 192, 22, 34, 30, 24, 67",,,,,,,,,,,,35,67,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 2613, 432, 707, 182, 141, 169, 49, 3192, 22, 34, 30, 24, 67"
19,5,149,,,,,,4484,,"594, 1526, 302, 287, 217, 205, 153, 84, 49, 70, 20, 110, 4, 66, 6, 25, 84, 27, 7, 10, 4, 157, 8, 20, 4, 16, 118, 24, 11, 52, 18, 206",,,,,,,,"13, 34, 7, 6, 5, 5, 3, 2, 1, 2, 0, 2, 0, 1, 0, 1, 2, 1, 0, 0, 0, 4, 0, 0, 0, 0, 3, 1, 0, 1, 0, 5",,,,,,,,,,,,,,,,,,,,36,15,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 613, 432, 707, 182, 141, 169, 49, 192, 22, 34, 30, 24, 67, 15",,,,,,,,,,,,36,15,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 2613, 432, 707, 182, 141, 169, 49, 3192, 22, 34, 30, 24, 67, 15"
19,6,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,11,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 613, 432, 707, 182, 141, 169, 49, 192, 22, 34, 30, 24, 67, 15, 11",,,,,,,,,,,,37,11,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 2613, 432, 707, 182, 141, 169, 49, 3192, 22, 34, 30, 24, 67, 15, 11"
19,10,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,21,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 613, 432, 707, 182, 141, 169, 49, 192, 22, 34, 30, 24, 67, 15, 11, 21",,,,,,,,,,,,38,21,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 2613, 432, 707, 182, 141, 169, 49, 3192, 22, 34, 30, 24, 67, 15, 11, 21"
19,7,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,6,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 613, 432, 707, 182, 141, 169, 49, 192, 22, 34, 30, 24, 67, 15, 11, 21, 6",,,,,,,,,,,,39,6,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 2613, 432, 707, 182, 141, 169, 49, 3192, 22, 34, 30, 24, 67, 15, 11, 21, 6"
19,8,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,34,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 613, 432, 707, 182, 141, 169, 49, 192, 22, 34, 30, 24, 67, 15, 11, 21, 6, 34",,,,,,,,,,,,40,34,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 2613, 432, 707, 182, 141, 169, 49, 3192, 22, 34, 30, 24, 67, 15, 11, 21, 6, 34"
19,15,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,2,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 613, 432, 707, 182, 141, 169, 49, 192, 22, 34, 30, 24, 67, 15, 11, 21, 6, 34, 2",,,,,,,,,,,,41,2,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 2613, 432, 707, 182, 141, 169, 49, 3192, 22, 34, 30, 24, 67, 15, 11, 21, 6, 34, 2"
19,12,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,3,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 613, 432, 707, 182, 141, 169, 49, 192, 22, 34, 30, 24, 67, 15, 11, 21, 6, 34, 2, 3",,,,,,,,,,,,42,3,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 2613, 432, 707, 182, 141, 169, 49, 3192, 22, 34, 30, 24, 67, 15, 11, 21, 6, 34, 2, 3"
19,9,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,5,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 613, 432, 707, 182, 141, 169, 49, 192, 22, 34, 30, 24, 67, 15, 11, 21, 6, 34, 2, 3, 5",,,,,,,,,,,,43,5,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 2613, 432, 707, 182, 141, 169, 49, 3192, 22, 34, 30, 24, 67, 15, 11, 21, 6, 34, 2, 3, 5"
19,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,2,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 613, 432, 707, 182, 141, 169, 49, 192, 22, 34, 30, 24, 67, 15, 11, 21, 6, 34, 2, 3, 5, 2",,,,,,,,,,,,44,2,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 2613, 432, 707, 182, 141, 169, 49, 3192, 22, 34, 30, 24, 67, 15, 11, 21, 6, 34, 2, 3, 5, 2"
19,14,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,7,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 613, 432, 707, 182, 141, 169, 49, 192, 22, 34, 30, 24, 67, 15, 11, 21, 6, 34, 2, 3, 5, 2, 7",,,,,,,,,,,,45,7,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 2613, 432, 707, 182, 141, 169, 49, 3192, 22, 34, 30, 24, 67, 15, 11, 21, 6, 34, 2, 3, 5, 2, 7"
19,18,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,2,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 613, 432, 707, 182, 141, 169, 49, 192, 22, 34, 30, 24, 67, 15, 11, 21, 6, 34, 2, 3, 5, 2, 7, 2",,,,,,,,,,,,46,2,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 2613, 432, 707, 182, 141, 169, 49, 3192, 22, 34, 30, 24, 67, 15, 11, 21, 6, 34, 2, 3, 5, 2, 7, 2"
19,30,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,4,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 613, 432, 707, 182, 141, 169, 49, 192, 22, 34, 30, 24, 67, 15, 11, 21, 6, 34, 2, 3, 5, 2, 7, 2, 4",,,,,,,,,,,,47,4,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 2613, 432, 707, 182, 141, 169, 49, 3192, 22, 34, 30, 24, 67, 15, 11, 21, 6, 34, 2, 3, 5, 2, 7, 2, 4"
19,13,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,4,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 613, 432, 707, 182, 141, 169, 49, 192, 22, 34, 30, 24, 67, 15, 11, 21, 6, 34, 2, 3, 5, 2, 7, 2, 4, 4",,,,,,,,,,,,48,4,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 2613, 432, 707, 182, 141, 169, 49, 3192, 22, 34, 30, 24, 67, 15, 11, 21, 6, 34, 2, 3, 5, 2, 7, 2, 4, 4"
19,16,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,1,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 613, 432, 707, 182, 141, 169, 49, 192, 22, 34, 30, 24, 67, 15, 11, 21, 6, 34, 2, 3, 5, 2, 7, 2, 4, 4, 1",,,,,,,,,,,,49,1,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 2613, 432, 707, 182, 141, 169, 49, 3192, 22, 34, 30, 24, 67, 15, 11, 21, 6, 34, 2, 3, 5, 2, 7, 2, 4, 4, 1"
19,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,2,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 613, 432, 707, 182, 141, 169, 49, 192, 22, 34, 30, 24, 67, 15, 11, 21, 6, 34, 2, 3, 5, 2, 7, 2, 4, 4, 1, 2",,,,,,,,,,,,50,2,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 2613, 432, 707, 182, 141, 169, 49, 3192, 22, 34, 30, 24, 67, 15, 11, 21, 6, 34, 2, 3, 5, 2, 7, 2, 4, 4, 1, 2"
19,22,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,991,60874,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 991","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 613, 432, 707, 182, 141, 169, 49, 192, 22, 34, 30, 24, 67, 15, 11, 21, 6, 34, 2, 3, 5, 2, 7, 2, 4, 4, 1, 2, 60874",,,,,,,,,,,,991,60874,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 991","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 2613, 432, 707, 182, 141, 169, 49, 3192, 22, 34, 30, 24, 67, 15, 11, 21, 6, 34, 2, 3, 5, 2, 7, 2, 4, 4, 1, 2, 60874"
19,25,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 991",,,,,,,,,,,,,,,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 991",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 613, 432, 707, 182, 141, 169, 49, 192, 22, 34, 30, 24, 67, 15, 11, 21, 6, 34, 2, 3, 5, 2, 7, 2, 4, 4, 1, 2, 60874",,,,,,,,,,,,,,,,
20,93,1546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 2613, 432, 707, 182, 141, 169, 49, 3192, 22, 34, 30, 24, 67, 15, 11, 21, 6, 34, 2, 3, 5, 2, 7, 2, 4, 4, 1, 2, 60874"
20,91,1284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2,430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1,413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,3,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,4,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,5,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,6,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,10,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,8,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,7,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,15,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,12,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,9,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,13,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,14,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,11,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,25,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,16,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,18,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,30,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,22,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,29,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,28,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,93,1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,91,643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,3,464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1,431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,5,335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,4,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
