AGE2,ALCDAYS,ALCDAYS,,,,AGE2,ALCDAYS,ALCDAYS,,,,,,,,,,,,,,,,,,,7,4910,4910,,,,,,,,,1,12,,1,12,,,,,,,,,,,,1,12,,1,12
18,12,16,,,,65+,12,66,,"594, 1526, 302, 287, 217, 205, 153, 84, 49, 70, 20, 110, 4, 66",,,,,,,1,"13, 34, 7, 6, 5, 5, 3, 2, 1, 2, 0, 2, 0, 1",,,,,,,,,,,,,,,,,,,,15,7044,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044",,,,,,,,,,,,15,7044,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044"
18,20,10,,,,65+,13,6,,"594, 1526, 302, 287, 217, 205, 153, 84, 49, 70, 20, 110, 4, 66, 6",,,,,,,0,"13, 34, 7, 6, 5, 5, 3, 2, 1, 2, 0, 2, 0, 1, 0",,,,,,,,,,,,,,,,,,,,16,8158,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158",,,,,,,,,,,,16,8158,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158"
18,11,9,,,,65+,14,25,,"594, 1526, 302, 287, 217, 205, 153, 84, 49, 70, 20, 110, 4, 66, 6, 25",,,,,,,1,"13, 34, 7, 6, 5, 5, 3, 2, 1, 2, 0, 2, 0, 1, 0, 1",,,,,,,,,,,,,,,,,,,,17,5277,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277",,,,,,,,,,,,17,5277,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277"
18,18,4,,,,65+,15,84,,"594, 1526, 302, 287, 217, 205, 153, 84, 49, 70, 20, 110, 4, 66, 6, 25, 84",,,,,,,2,"13, 34, 7, 6, 5, 5, 3, 2, 1, 2, 0, 2, 0, 1, 0, 1, 2",,,,,,,,,,,,,,,,,,,,18,8588,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588",,,,,,,,,,,,18,8588,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588"
18,14,3,,,,65+,16,27,,"594, 1526, 302, 287, 217, 205, 153, 84, 49, 70, 20, 110, 4, 66, 6, 25, 84, 27",,,,,,,1,"13, 34, 7, 6, 5, 5, 3, 2, 1, 2, 0, 2, 0, 1, 0, 1, 2, 1",,,,,,,,,,,,,,,,,,,,19,3649,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649",,,,,,,,,,,,19,3649,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649"
18,30,3,,,,65+,17,7,,"594, 1526, 302, 287, 217, 205, 153, 84, 49, 70, 20, 110, 4, 66, 6, 25, 84, 27, 7",,,,,,,0,"13, 34, 7, 6, 5, 5, 3, 2, 1, 2, 0, 2, 0, 1, 0, 1, 2, 1, 0",,,,,,,,,,,,,,,,,,,,20,3210,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210",,,,,,,,,,,,20,3210,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210"
18,13,2,,,,65+,18,10,,"594, 1526, 302, 287, 217, 205, 153, 84, 49, 70, 20, 110, 4, 66, 6, 25, 84, 27, 7, 10",,,,,,,0,"13, 34, 7, 6, 5, 5, 3, 2, 1, 2, 0, 2, 0, 1, 0, 1, 2, 1, 0, 0",,,,,,,,,,,,,,,,,,,,21,2261,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261",,,,,,,,,,,,21,2261,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261"
18,17,2,,,,65+,19,4,,"594, 1526, 302, 287, 217, 205, 153, 84, 49, 70, 20, 110, 4, 66, 6, 25, 84, 27, 7, 10, 4",,,,,,,0,"13, 34, 7, 6, 5, 5, 3, 2, 1, 2, 0, 2, 0, 1, 0, 1, 2, 1, 0, 0, 0",,,,,,,,,,,,,,,,,,,,22,1209,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209",,,,,,,,,,,,22,1209,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209"
18,19,1,,,,65+,20,157,,"594, 1526, 302, 287, 217, 205, 153, 84, 49, 70, 20, 110, 4, 66, 6, 25, 84, 27, 7, 10, 4, 157",,,,,,,4,"13, 34, 7, 6, 5, 5, 3, 2, 1, 2, 0, 2, 0, 1, 0, 1, 2, 1, 0, 0, 0, 4",,,,,,,,,,,,,,,,,,,,23,613,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 613",,,,,,,,,,,,23,2613,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 2613"
18,22,1,,,,65+,21,8,,"594, 1526, 302, 287, 217, 205, 153, 84, 49, 70, 20, 110, 4, 66, 6, 25, 84, 27, 7, 10, 4, 157, 8",,,,,,,0,"13, 34, 7, 6, 5, 5, 3, 2, 1, 2, 0, 2, 0, 1, 0, 1, 2, 1, 0, 0, 0, 4, 0",,,,,,,,,,,,,,,,,,,,24,432,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 613, 432",,,,,,,,,,,,24,432,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044, 8158, 5277, 8588, 3649, 3210, 2261, 1209, 2613, 432"
